Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
58,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,19.966781110160376,179,179,179
59,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,17.970102999144338,179,179,179
60,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,16.173092699229905,179,179,179
61,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,14.555783429306915,179,179,179
62,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,13.100205086376222,179,179,179
63,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,11.790184577738602,179,179,179
64,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,10.611166119964741,179,179,179
65,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,9.550049507968268,179,179,179
66,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,8.595044557171441,179,179,179
67,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,7.735540101454297,179,179,179
68,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,6.961986091308868,179,179,179
69,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,6.265787482177981,179,179,179
70,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,5.639208733960183,179,179,179
71,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,5.075287860564165,179,179,179
72,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,4.567759074507749,179,179,179
73,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,4.110983167056974,179,179,179
74,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,3.6998848503512765,179,179,179
75,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,3.329896365316149,179,179,179
76,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,2.996906728784534,179,179,179
77,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,2.697216055906081,179,179,179
78,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,2.4274944503154727,179,179,179
79,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,2.1847450052839257,179,179,179
80,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,1.966270504755533,179,179,179
81,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,1.7696434542799797,179,179,179
82,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,1.5926791088519818,179,179,179
83,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,1.4334111979667836,179,179,179
84,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,1.2900700781701053,179,179,179
85,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,1.1610630703530949,179,179,179
86,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,1.0449567633177854,179,179,179
87,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,1,179,179,179
