ID,Q_0.1_1,Q_0.1_2,Q_0.2_0,Q_0.3_1,Q_0.3_2,Q_0.3_3,Q_0.3_4,Q_0.4_0,Q_0.5_1,Q_0.5_2,Q_0.5_3,Q_0.5_4,Q_0.6_1,Q_1.0_0,Q_1.11_1,Q_1.11_2,Q_1.12_0,Q_1.13_0,Q_1.14_0,Q_1.15_0,Q_1.1_0,Q_1.6_0,Q_1.7_1,Q_1.7_2,Q_1.8_0,Q_1.9_0,Q_4.0_0,Q_4.11_0,Q_4.11a_1,Q_4.11a_2,Q_4.11a_3,Q_4.11b_1,Q_4.11b_2,Q_4.13_0,Q_4.1_1,Q_4.1_2,Q_4.2_1,Q_4.2_2,Q_4.2_3,Q_4.3_1,Q_4.3_2,Q_4.3a_0,Q_4.4_0
31177,2,1,0,1,1,12,1,1,13,15,13,20,6,1,,,,,,,1,,,,,,1,4,,,,5,1,2,0,0,1,1,1,4,0,,1
31179,2,1,0,1,1,0,1,1,14,19,14,30,10,1,4,4,2,1,3,1,1,4,1,1,,0,1,4,,,,5,1,1,0,0,1,1,1,1,0,2,3
31180,7,1,0,1,1,1,1,1,16,19,16,35,10,1,3,3,1,1,1,3,2,4,1,1,,1,1,2,,,,,,2,0,0,1,0,0,1,1,1,2
31181,2,1,0,1,1,1,1,1,15,15,15,45,6,1,4,6,1,3,3,1,1,4,1,1,,1,1,1,1,1,1,,,1,0,0,1,1,1,1,1,1,6
31182,2,1,0,1,1,1,1,1,14,17,14,50,5,1,3,3,2,1,3,1,1,4,1,1,,1,1,4,,,,5,1,1,0,0,1,0,1,1,1,1,3
31184,2,1,0,1,1,12,1,1,17,17,17,30,8,1,2,2,2,5,3,1,1,3,1,1,,1,1,1,1,1,1,,,2,0,0,1,0,0,1,0,1,1
31185,2,1,0,1,1,0,1,1,15,18,15,50,7,1,4,4,1,1,1,1,1,4,1,1,,1,1,4,,,,5,0,2,0,0,1,0,0,7,1,,1
31187,4,1,0,1,1,6,1,1,17,18,17,35,7,1,4,4,1,2,3,1,1,3,1,1,,1,1,1,1,1,1,,,2,0,0,1,0,0,2,1,,6
31446,2,1,0,1,1,12,1,1,15,18,15,30,6,1,,,,,,,1,,,,,,1,1,1,1,1,,,2,0,0,1,1,1,3,1,,3
32480,2,1,0,1,1,11,1,1,11,19,11,41,3,1,,,,,,,1,,,,,,1,3,,,,1,1,1,0,0,1,0,0,1,0,2,4
32550,2,1,0,1,1,7,1,1,14,17,14,40,6,1,,,,,,,1,,,,,,1,2,,,,,,2,0,0,1,0,0,1,1,2,1
35268,2,1,0,1,1,1,1,1,14,17,14,30,6,1,5,3,2,1,3,1,1,4,1,1,,1,1,3,,,,4,0,2,0,0,1,0,0,1,1,1,1
35274,2,1,0,1,1,11,1,1,12,17,0,0,5,1,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
35393,3,1,0,1,1,4,1,1,13,18,0,0,6,1,,,,,,,1,,,,,,1,3,,,,5,1,2,0,0,3,0,1,1,0,2,4
35449,2,1,0,1,1,0,1,1,13,18,14,30,5,1,,,,,,,2,,,,,,1,1,1,1,1,,,2,0,0,1,0,0,6,1,,4
35475,2,1,0,1,1,10,1,1,15,18,15,40,7,1,6,6,2,5,3,,1,,,,1,1,1,3,,,,1,1,2,0,0,1,1,1,1,1,1,2
35755,1,1,0,1,1,6,1,1,6,17,6,23,5,1,,,,,,,1,,,,,,1,0,,,,,,2,0,0,1,0,0,3,1,,1
35848,2,1,0,1,1,12,1,1,15,16,15,19,13,1,,,,,,,1,,,,,,1,3,,,,2,1,1,0,0,1,1,1,1,1,1,1
35853,3,1,0,1,1,12,1,1,14,18,14,40,5,1,,,,,,,1,,,,,,1,1,1,1,1,,,2,0,0,1,1,1,1,0,2,2
35854,2,1,0,1,1,11,1,1,13,18,13,30,4,2,,,,,,,1,,,,,,1,1,1,1,1,,,2,0,0,1,0,0,2,0,,3
35857,2,1,0,1,1,12,1,1,13,17,13,19,6,1,,,,,,,1,,,,,,1,3,,,,2,0,2,0,0,1,0,0,1,0,1,2
35858,2,1,0,1,1,8,1,1,16,17,16,40,8,1,4,4,4,3,3,1,1,4,1,1,,1,1,4,,,,5,1,2,0,0,1,0,0,1,0,1,2
35859,2,1,0,1,1,12,1,1,13,17,0,0,6,1,,,,,,,1,,,,,,1,1,1,1,1,,,1,0,0,1,0,0,1,0,2,1
35860,2,1,,1,1,6,1,1,15,18,15,45,7,1,6,4,1,1,3,,1,,,,1,1,1,3,,,,4,1,2,0,0,1,1,1,1,1,,3
35862,2,1,,1,1,0,1,1,14,17,14,40,6,2,,,,,,,1,,,,,,1,5,,,,,,2,0,0,1,0,0,4,1,,1
35863,7,1,0,1,1,0,1,1,16,17,16,30,8,1,5,5,3,3,2,2,1,4,1,1,,1,1,4,,,,5,1,1,0,0,1,0,0,1,0,2,3
35864,7,1,0,1,1,6,1,1,16,16,16,20,8,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,
35865,2,1,0,1,1,12,1,1,15,18,15,40,6,1,,,,,,,1,,,,,,1,3,,,,1,1,2,0,0,1,1,0,1,1,1,3
35867,7,1,0,1,1,8,1,1,16,15,16,45,9,3,4,3,3,1,1,1,1,1,1,1,,1,1,2,,,,,,3,0,0,1,0,0,1,0,0,3
35870,2,1,,1,1,11,1,1,14,18,0,0,5,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,
35872,2,1,0,1,1,12,1,1,15,18,0,0,13,2,,,,,,,1,,,,,,1,3,,,,1,1,2,0,0,1,1,1,1,1,2,2
35873,2,1,0,1,1,0,1,1,15,215,0,0,11,1,4,4,1,1,2,1,1,4,1,1,0,1,1,1,1,0,0,,,2,0,0,1,0,0,1,0,0,0
35874,2,1,0,1,1,4,1,1,15,18,15,25,8,1,,,,,,,2,,,,,,1,4,,,,5,1,1,0,0,3,1,0,1,0,1,2
35877,2,1,0,1,1,12,1,1,13,18,13,25,6,1,,,,,,,1,,,,,,1,1,0,0,0,,,2,0,0,1,0,0,4,1,,2
35878,2,1,,1,1,0,1,1,14,18,14,35,0,1,,,,,,,1,,,,,,1,0,,,,,,0,0,0,1,0,0,7,0,,0
35879,2,1,0,1,1,1,1,1,13,17,14,40,6,2,,,,,,,1,,,,,,1,4,,,,2,1,2,0,0,1,1,0,1,0,1,2
35880,2,1,0,1,1,12,1,1,15,18,15,19,14,1,,,,,,,2,,,,,,1,0,,,,,,0,0,0,1,0,0,0,0,,0
35883,2,1,0,1,1,12,1,1,14,17,15,40,7,1,,,,,,,1,,,,,,1,5,,,,,,2,0,0,1,0,0,4,1,,1
35884,2,1,0,1,1,0,1,1,15,15,15,20,7,1,,,,,,,1,,,,,,1,4,,,,5,0,1,0,0,1,0,0,4,1,,1
35885,2,1,,1,1,10,1,1,14,17,14,30,4,3,5,4,1,1,3,1,2,4,1,1,,1,1,2,,,,,,2,0,0,1,0,0,1,1,,1
35886,2,1,0,1,1,5,1,1,14,18,0,0,5,1,,,,,,,1,,,,,,1,4,,,,1,1,2,0,0,1,1,1,5,1,,1
35887,2,1,0,1,1,5,1,1,14,18,0,0,5,1,0,0,3,3,3,,1,,,,0,1,1,0,,,,,,2,0,0,0,0,0,3,0,,1
35893,2,1,0,1,1,10,1,1,16,19,17,30,8,1,4,4,1,2,3,1,1,3,1,1,,1,2,,,,,,,,0,0,3,1,1,1,1,,2
35894,7,1,0,1,1,0,1,1,15,16,15,36,7,1,0,0,3,1,0,0,1,4,1,1,,0,1,4,,,,5,0,1,0,0,1,0,1,1,0,1,4
35897,3,1,0,1,1,12,1,1,14,18,15,50,14,1,,,,,,,1,,,,,,1,3,,,,5,1,2,0,0,3,0,1,1,1,1,2
35898,7,1,0,1,1,5,1,1,15,18,15,38,8,1,,,,,,,1,,,,,,1,1,1,1,1,,,2,0,0,1,0,0,1,0,2,2
35903,7,0,,1,1,2,1,1,16,14,16,19,8,2,,,,,,,2,,,,,,2,,,,,,,,0,0,0,0,0,0,0,,0
35904,7,1,,1,1,4,1,1,17,11,17,25,8,1,4,4,1,4,2,1,2,2,0,0,,0,1,0,,,,,,0,0,0,1,0,0,1,0,,2
